"ref_date","geo","violation","statistics","values"
2004,"Alberta [48]","Incest","Total, persons charged",""
2005,"Alberta [48]","Incest","Total, persons charged","0"
2006,"Alberta [48]","Incest","Total, persons charged","0"
2007,"Alberta [48]","Incest","Total, persons charged","1"
2008,"Alberta [48]","Incest","Total, persons charged","4"
2009,"Alberta [48]","Incest","Total, persons charged","12"
2010,"Alberta [48]","Incest","Total, persons charged","15"
2011,"Alberta [48]","Incest","Total, persons charged","23"
2012,"Alberta [48]","Incest","Total, persons charged","19"
2013,"Alberta [48]","Incest","Total, persons charged","15"
2014,"Alberta [48]","Incest","Total, persons charged","20"
2015,"Alberta [48]","Incest","Total, persons charged","21"
2016,"Alberta [48]","Incest","Total, persons charged","12"
2017,"Alberta [48]","Incest","Total, persons charged","12"
