"ref_date","geo","violation","statistics","values"
2004,"Canada","Incest","Total, persons charged","0"
2005,"Canada","Incest","Total, persons charged","0"
2006,"Canada","Incest","Total, persons charged","0"
2007,"Canada","Incest","Total, persons charged","3"
2008,"Canada","Incest","Total, persons charged","35"
2009,"Canada","Incest","Total, persons charged","83"
2010,"Canada","Incest","Total, persons charged","130"
2011,"Canada","Incest","Total, persons charged","142"
2012,"Canada","Incest","Total, persons charged","126"
2013,"Canada","Incest","Total, persons charged","133"
2014,"Canada","Incest","Total, persons charged","112"
2015,"Canada","Incest","Total, persons charged","144"
2016,"Canada","Incest","Total, persons charged","96"
2017,"Canada","Incest","Total, persons charged","80"
