"ref_date","geo","violation","statistics","values"
2004,"Manitoba [46]","Incest","Total, persons charged",""
2005,"Manitoba [46]","Incest","Total, persons charged","0"
2006,"Manitoba [46]","Incest","Total, persons charged","0"
2007,"Manitoba [46]","Incest","Total, persons charged","0"
2008,"Manitoba [46]","Incest","Total, persons charged","0"
2009,"Manitoba [46]","Incest","Total, persons charged","2"
2010,"Manitoba [46]","Incest","Total, persons charged","12"
2011,"Manitoba [46]","Incest","Total, persons charged","6"
2012,"Manitoba [46]","Incest","Total, persons charged","11"
2013,"Manitoba [46]","Incest","Total, persons charged","15"
2014,"Manitoba [46]","Incest","Total, persons charged","9"
2015,"Manitoba [46]","Incest","Total, persons charged","13"
2016,"Manitoba [46]","Incest","Total, persons charged","2"
2017,"Manitoba [46]","Incest","Total, persons charged","2"
