"ref_date","geo","violation","statistics","values"
2004,"New Brunswick [13]","Incest","Total, persons charged",""
2005,"New Brunswick [13]","Incest","Total, persons charged","0"
2006,"New Brunswick [13]","Incest","Total, persons charged","0"
2007,"New Brunswick [13]","Incest","Total, persons charged","0"
2008,"New Brunswick [13]","Incest","Total, persons charged","1"
2009,"New Brunswick [13]","Incest","Total, persons charged","1"
2010,"New Brunswick [13]","Incest","Total, persons charged","7"
2011,"New Brunswick [13]","Incest","Total, persons charged","6"
2012,"New Brunswick [13]","Incest","Total, persons charged","5"
2013,"New Brunswick [13]","Incest","Total, persons charged","1"
2014,"New Brunswick [13]","Incest","Total, persons charged","2"
2015,"New Brunswick [13]","Incest","Total, persons charged","4"
2016,"New Brunswick [13]","Incest","Total, persons charged","4"
2017,"New Brunswick [13]","Incest","Total, persons charged","0"
