"ref_date","geo","violation","statistics","values"
2005,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged",""
2006,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2007,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2008,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2009,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","1"
2010,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2011,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2012,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2013,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2014,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2015,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2016,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
2017,"St. John's, Newfoundland and Labrador [10001]","Incest","Total, persons charged","0"
