"ref_date","geo","violation","statistics","values"
2004,"Nova Scotia [12]","Incest","Total, persons charged",""
2005,"Nova Scotia [12]","Incest","Total, persons charged","0"
2006,"Nova Scotia [12]","Incest","Total, persons charged","0"
2007,"Nova Scotia [12]","Incest","Total, persons charged","0"
2008,"Nova Scotia [12]","Incest","Total, persons charged","1"
2009,"Nova Scotia [12]","Incest","Total, persons charged","2"
2010,"Nova Scotia [12]","Incest","Total, persons charged","6"
2011,"Nova Scotia [12]","Incest","Total, persons charged","6"
2012,"Nova Scotia [12]","Incest","Total, persons charged","3"
2013,"Nova Scotia [12]","Incest","Total, persons charged","10"
2014,"Nova Scotia [12]","Incest","Total, persons charged","3"
2015,"Nova Scotia [12]","Incest","Total, persons charged","4"
2016,"Nova Scotia [12]","Incest","Total, persons charged","3"
2017,"Nova Scotia [12]","Incest","Total, persons charged","0"
