"ref_date","geo","violation","statistics","values"
2004,"Ontario [35]","Incest","Total, persons charged",""
2005,"Ontario [35]","Incest","Total, persons charged","0"
2006,"Ontario [35]","Incest","Total, persons charged","0"
2007,"Ontario [35]","Incest","Total, persons charged","0"
2008,"Ontario [35]","Incest","Total, persons charged","14"
2009,"Ontario [35]","Incest","Total, persons charged","26"
2010,"Ontario [35]","Incest","Total, persons charged","39"
2011,"Ontario [35]","Incest","Total, persons charged","46"
2012,"Ontario [35]","Incest","Total, persons charged","42"
2013,"Ontario [35]","Incest","Total, persons charged","30"
2014,"Ontario [35]","Incest","Total, persons charged","30"
2015,"Ontario [35]","Incest","Total, persons charged","45"
2016,"Ontario [35]","Incest","Total, persons charged","17"
2017,"Ontario [35]","Incest","Total, persons charged","23"
