"ref_date","geo","violation","statistics","values"
2004,"Prince Edward Island [11]","Incest","Total, persons charged",""
2005,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2006,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2007,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2008,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2009,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2010,"Prince Edward Island [11]","Incest","Total, persons charged","1"
2011,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2012,"Prince Edward Island [11]","Incest","Total, persons charged","1"
2013,"Prince Edward Island [11]","Incest","Total, persons charged","1"
2014,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2015,"Prince Edward Island [11]","Incest","Total, persons charged","1"
2016,"Prince Edward Island [11]","Incest","Total, persons charged","0"
2017,"Prince Edward Island [11]","Incest","Total, persons charged","0"
