"ref_date","geo","violation","statistics","values"
2004,"Quebec [24]","Incest","Total, persons charged",""
2005,"Quebec [24]","Incest","Total, persons charged","0"
2006,"Quebec [24]","Incest","Total, persons charged","0"
2007,"Quebec [24]","Incest","Total, persons charged","0"
2008,"Quebec [24]","Incest","Total, persons charged","4"
2009,"Quebec [24]","Incest","Total, persons charged","21"
2010,"Quebec [24]","Incest","Total, persons charged","18"
2011,"Quebec [24]","Incest","Total, persons charged","27"
2012,"Quebec [24]","Incest","Total, persons charged","25"
2013,"Quebec [24]","Incest","Total, persons charged","41"
2014,"Quebec [24]","Incest","Total, persons charged","26"
2015,"Quebec [24]","Incest","Total, persons charged","26"
2016,"Quebec [24]","Incest","Total, persons charged","31"
2017,"Quebec [24]","Incest","Total, persons charged","25"
