"ref_date","geo","violation","statistics","values"
2004,"Saskatchewan [47]","Incest","Total, persons charged",""
2005,"Saskatchewan [47]","Incest","Total, persons charged","0"
2006,"Saskatchewan [47]","Incest","Total, persons charged","0"
2007,"Saskatchewan [47]","Incest","Total, persons charged","0"
2008,"Saskatchewan [47]","Incest","Total, persons charged","0"
2009,"Saskatchewan [47]","Incest","Total, persons charged","4"
2010,"Saskatchewan [47]","Incest","Total, persons charged","8"
2011,"Saskatchewan [47]","Incest","Total, persons charged","9"
2012,"Saskatchewan [47]","Incest","Total, persons charged","5"
2013,"Saskatchewan [47]","Incest","Total, persons charged","3"
2014,"Saskatchewan [47]","Incest","Total, persons charged","6"
2015,"Saskatchewan [47]","Incest","Total, persons charged","6"
2016,"Saskatchewan [47]","Incest","Total, persons charged","5"
2017,"Saskatchewan [47]","Incest","Total, persons charged","2"
